,,,openInterest,openInterest,volume,volume
optionType,,,calls,puts,calls,puts
symbol,strike,expiration,,,,
AAPL,140.0,2024-03-01,1.0,25.0,0.0,6.0
AAPL,140.0,2024-03-15,1046.0,8951.0,2.0,27.0
AAPL,140.0,2024-04-19,194.0,6963.0,2.0,53.0
AAPL,140.0,2024-05-17,266.0,88.0,1.0,5.0
AAPL,140.0,2024-06-21,3191.0,13827.0,8.0,64.0
AAPL,140.0,2024-07-19,25.0,443.0,1.0,14.0
AAPL,140.0,2024-08-16,10.0,359.0,1.0,3.0
AAPL,140.0,2024-09-20,1979.0,6671.0,1.0,28.0
AAPL,140.0,2024-12-20,314.0,1722.0,1.0,14.0
AAPL,140.0,2025-01-17,5406.0,12739.0,350.0,177.0
AAPL,140.0,2025-06-20,708.0,2243.0,3.0,35.0
AAPL,140.0,2025-09-19,5.0,131.0,1.0,1.0
AAPL,140.0,2025-12-19,1522.0,2067.0,6.0,10.0
AAPL,140.0,2026-01-16,263.0,1405.0,22.0,91.0
AAPL,140.0,2026-06-18,242.0,62.0,2.0,13.0
AAPL,145.0,2024-01-26,5.0,1257.0,1.0,1013.0
AAPL,145.0,2024-02-02,73.0,276.0,1.0,11.0
AAPL,145.0,2024-02-09,1.0,96.0,0.0,4.0
AAPL,145.0,2024-02-16,868.0,2520.0,96.0,771.0
AAPL,145.0,2024-02-23,4.0,66.0,3.0,2.0
AAPL,145.0,2024-03-01,5.0,38.0,3.0,3.0
AAPL,145.0,2024-03-15,1129.0,12452.0,23.0,37.0
AAPL,145.0,2024-04-19,434.0,5318.0,18.0,9.0
AAPL,145.0,2024-05-17,76.0,1215.0,1.0,38.0
AAPL,145.0,2024-06-21,3861.0,12435.0,8.0,30.0
AAPL,145.0,2024-07-19,102.0,598.0,10.0,4.0
AAPL,145.0,2024-08-16,26.0,283.0,1.0,2.0
AAPL,145.0,2024-09-20,1267.0,8425.0,6.0,34.0
AAPL,145.0,2024-12-20,198.0,2065.0,1.0,53.0
AAPL,145.0,2025-01-17,4052.0,14412.0,10.0,36.0
AAPL,145.0,2025-06-20,617.0,3359.0,21.0,6.0
AAPL,145.0,2025-09-19,25.0,88.0,3.0,2.0
AAPL,145.0,2025-12-19,626.0,1358.0,3.0,1.0
AAPL,145.0,2026-01-16,104.0,547.0,1.0,7.0
AAPL,145.0,2026-06-18,42.0,14.0,8.0,1.0
AAPL,150.0,2024-01-26,137.0,940.0,42.0,524.0
AAPL,150.0,2024-02-02,49.0,455.0,2.0,61.0
AAPL,150.0,2024-02-09,10.0,340.0,2.0,6.0
AAPL,150.0,2024-02-16,820.0,6964.0,39.0,1436.0
AAPL,150.0,2024-02-23,8.0,120.0,3.0,6.0
AAPL,150.0,2024-03-01,15.0,89.0,4.0,17.0
AAPL,150.0,2024-03-15,2784.0,25306.0,18.0,656.0
AAPL,150.0,2024-04-19,735.0,5567.0,7.0,370.0
AAPL,150.0,2024-05-17,55.0,364.0,8.0,89.0
AAPL,150.0,2024-06-21,15524.0,18802.0,84.0,86.0
AAPL,150.0,2024-07-19,219.0,963.0,4.0,69.0
AAPL,150.0,2024-08-16,13.0,30.0,1.0,3.0
AAPL,150.0,2024-09-20,2523.0,12807.0,31.0,11.0
AAPL,150.0,2024-12-20,591.0,3031.0,5.0,24.0
AAPL,150.0,2025-01-17,10807.0,17071.0,75.0,1783.0
AAPL,150.0,2025-06-20,1544.0,8363.0,4.0,38.0
